Species No.,Name,No. of unique specimens sampled
1,Alophoixus affinis,4
2,Alophoixus bres,1
3,Alophoixus finschii,4
4,Alophoixus flaveolus,8
5,Alophoixus longirostris,4
6,Alophoixus mystacalis,4
7,Alophoixus ochraceus,5
8,Alophoixus pallidus,5
9,Alophoixus phaeocephalus,5
10,Alophoixus tephrogenys,4
11,Andropadus importunus,12
12,Arizelocichla chlorigula,4
13,Arizelocichla fusciceps,4
14,Arizelocichla masukuensis,14
15,Arizelocichla milanjensis,16
16,Arizelocichla montana,5
17,Arizelocichla neumanni,4
18,Arizelocichla nigriceps,16
19,Arizelocichla tephrolaema,4
20,Atimastillas flavicollis,9
21,Baeopogon clamans,4
22,Baeopogon indicator,8
23,Bleda canicapillus,4
24,Bleda eximius,4
25,Bleda notatus,9
26,Bleda syndactylus,8
27,Brachypodius eutilotus,6
28,Brachypodius fuscoflavescens,4
29,Brachypodius melanocephalos,5
30,Brachypodius melanoleucos,5
31,Brachypodius priocephalus,5
32,Brachypodius urostictus,5
33,Calyptocichla serinus,5
34,Chlorocichla falkensteini,5
35,Chlorocichla flaviventris,11
36,Chlorocichla laetissima,7
37,Chlorocichla prigoginei,1
38,Chlorocichla simplex,5
39,Criniger barbatus,5
40,Criniger calurus,11
41,Criniger chloronotus,4
42,Criniger ndussumensis,5
43,Criniger olivaceus,5
44,Eurillas ansorgei,5
45,Eurillas curvirostris,9
46,Eurillas gracilis,5
47,Eurillas latirostris,8
48,Eurillas virens,13
49,Hemixos castanonotus,4
50,Hemixos cinereus,4
51,Hemixos flavala,5
52,Hypsipetes amaurotis,5
53,Hypsipetes borbonicus,4
54,Hypsipetes crassirostris,5
55,Hypsipetes everetti,5
56,Hypsipetes ganeesa,4
57,Hypsipetes leucocephalus,8
58,Hypsipetes madagascariensis,5
59,Hypsipetes nicobariensis,5
60,Hypsipetes olivaceus,5
61,Hypsipetes parvirostris,3
62,Hypsipetes philippinus,5
63,Hypsipetes rufigularis,5
64,Hypsipetes siquijorensis,2
65,Hypsipetes thompsoni,4
66,Iole charlottae,4
67,Iole crypta,1
68,Iole indica,13
69,Iole palawanensis,5
70,Iole propinqua,5
71,Iole viridescens,1
72,Ixonotus guttatus,5
73,Ixos malaccensis,5
74,Ixos mcclellandii,4
75,Ixos virescens,9
76,Neolestes torquatus,4
77,Nok hualon,1
78,Phyllastrephus albigularis,5
79,Phyllastrephus baumanni,5
80,Phyllastrephus cabanisi,16
81,Phyllastrephus cerviniventris,5
82,Phyllastrephus debilis,5
83,Phyllastrephus fischeri,5
84,Phyllastrephus flavostriatus,8
85,Phyllastrephus fulviventris,5
86,Phyllastrephus hypochloris,5
87,Phyllastrephus icterinus,5
88,Phyllastrephus lorenzi,1
89,Phyllastrephus poensis,11
90,Phyllastrephus poliocephalus,5
91,Phyllastrephus scandens,5
92,Phyllastrephus strepitans,9
93,Phyllastrephus terrestris,5
94,Phyllastrephus xavieri,4
95,Pycnonotus aurigaster,9
96,Pycnonotus barbatus,23
97,Pycnonotus bimaculatus,4
98,Pycnonotus blanfordi,5
99,Pycnonotus brunneus,3
100,Pycnonotus cafer,12
101,Pycnonotus capensis,4
102,Pycnonotus finlaysoni,5
103,Pycnonotus flavescens,5
104,Pycnonotus goiavier,5
105,Pycnonotus jocosus,9
106,Pycnonotus leucogenys,5
107,Pycnonotus leucogrammicus,3
108,Pycnonotus leucotis,5
109,Pycnonotus luteolus,4
110,Pycnonotus nigricans,5
111,Pycnonotus penicillatus,4
112,Pycnonotus plumosus,5
113,Pycnonotus pseudosimplex,1
114,Pycnonotus simplex,6
115,Pycnonotus sinensis,10
116,Pycnonotus striatus,5
117,Pycnonotus taivanus,2
118,Pycnonotus tympanistrigus,2
119,Pycnonotus xantholaemus,4
120,Pycnonotus xanthopygos,9
121,Pycnonotus xanthorrhous,5
122,Pycnonotus zeylanicus,5
123,Rubigula cyaniventris,7
124,Rubigula dispar,4
125,Rubigula erythropthalmos,5
126,Rubigula flaviventris,6
127,Rubigula gularis,4
128,Rubigula melanicterus,5
129,Rubigula montis,4
130,Rubigula squamata,5
131,Setornis criniger,5
132,Spizixos canifrons,4
133,Spizixos semitorques,8
134,Stelgidillas gracilirostris,9
135,Thescelocichla leucopleura,4
136,Tricholestes criniger,7
